number,category,confidence,area,version,has_repro,likely_fixed_by_port,summary,html_url
159,not-memory,high,meta/roadmap,,no,no,Roadmap tracking issue; 'crash' only appears incidentally in feature checklist,https://github.com/oven-sh/bun/issues/159
2328,not-memory,high,codegen/bindings,,no,no,Feature request: typed argument validation in bindings generator (mentions 'category of crashes' as motivation),https://github.com/oven-sh/bun/issues/2328
2773,crash,medium,install/workspaces,,yes,yes,bun install segfaults when a workspace member depends on the workspace root package,https://github.com/oven-sh/bun/issues/2773
2978,not-memory,high,cli/completions,,no,no,Feature request to redesign `bun completions` (references separate crash #2977),https://github.com/oven-sh/bun/issues/2978
4407,not-memory,high,bundler,0.8.1,yes,no,"Bun.build target=browser writes outputs into node_modules and fails to resolve node builtins — build errors, not process crash",https://github.com/oven-sh/bun/issues/4407
4638,crash,medium,runtime/http (Astro dev server),1.0.0,yes,yes,Intermittent SIGSEGV on first request when running `bunx astro dev`,https://github.com/oven-sh/bun/issues/4638
4678,not-memory,high,platform,,no,no,Feature request: OpenBSD support (word 'crash' refers to OpenBSD mitigations),https://github.com/oven-sh/bun/issues/4678
5019,not-memory,high,napi/libuv-shim,1.0.0,yes,no,Native addon aborts with 'undefined symbol: uv_async_init' — missing libuv shim symbol on Linux,https://github.com/oven-sh/bun/issues/5019
5044,not-memory,high,runtime-plugins/loader,1.0.0,yes,no,"onLoad plugin returning loader:ts/js breaks CJS detection and TS parsing — SyntaxErrors, not process crash",https://github.com/oven-sh/bun/issues/5044
5113,not-memory,high,test-runner/dom,1.0.0,yes,no,"ReferenceError: document is not defined — missing DOM environment, solved by happy-dom preload",https://github.com/oven-sh/bun/issues/5113
5179,not-memory,high,inspector/debugger,1.0.0,yes,no,"With --inspect, stdout.write throws 'Cannot convert a symbol to a string' — JS TypeError, not native crash",https://github.com/oven-sh/bun/issues/5179
5629,crash,high,cli/stdio,1.0.2,yes,yes,`bun build x | bun` panics with error.BrokenPipe and emits crash report,https://github.com/oven-sh/bun/issues/5629
5639,not-memory,high,debugger/inspector,1.0.2,yes,no,"--inspect fails with EADDRINUSE / IPv6 ::1 bind — JS-level listen error, not native crash",https://github.com/oven-sh/bun/issues/5639
5672,crash,medium,napi,1.0.2,yes,no,Loading freetype2 native addon and calling NewFace segfaults,https://github.com/oven-sh/bun/issues/5672
5727,crash,medium,cli/upgrade,1.0.2,yes,no,`bun upgrade` downloads wrong CPU-baseline binary → every command segfaults (SIGILL/SIGSEGV),https://github.com/oven-sh/bun/issues/5727
5789,crash,high,install/lockfile,1.0.2,yes,yes,bun install -g <git-url> panics with error.DependencyLoop; corrupted dependency string visible in output,https://github.com/oven-sh/bun/issues/5789
5809,not-memory,high,bundler,1.0.2,yes,no,"build --target=bun emits code referencing `require` which is undefined at runtime — ReferenceError, not native crash",https://github.com/oven-sh/bun/issues/5809
5871,crash,medium,install/cli-args,1.0.2,yes,yes,`bun --prefer-offline add pkg` segfaults; flag position handling inconsistent,https://github.com/oven-sh/bun/issues/5871
6203,crash,medium,ffi,1.0.3,yes,yes,Calling into Python via bun:ffi (bunpy) silently crashes process with no output,https://github.com/oven-sh/bun/issues/6203
6549,not-memory,high,sqlite,1.0.6,yes,no,"db.serialize(fn) throws misleading 'Out of memory' — wrong arg type, bad error message not real OOM",https://github.com/oven-sh/bun/issues/6549
